country_code,date_year,life_expectancy,infant_mortality,death_rate,fertility_rate,population_total,health_expenditure_pct_gdp,hospital_beds_per_1000,gdp_usd,gdp_per_capita_usd,gdp_growth_percent,gnp_per_capita_usd,inflation_percent,unemployment_percent,literacy_rate,education_expenditure_pct_gdp,population_growth_percent,poverty_headcount_1_90,income_share_top_20,climate_disaster_impact_percent
CAN,1996,78.220243902439,5.6,7.2,1.63,29610218,,4.5999999046,630607994132.747,21296.9723536904,1.68896122499937,20820,1.57053112507138,9.62,,,1.04531178311831,0.5,23.0,
CAN,1997,78.4124390243903,5.5,7.2,1.57,29905948,,4.4000000954,654986999855.554,21901.5628548392,4.28016683621337,21330,1.62121638084531,9.1,,,0.993788591465188,0.5,22.8,
CAN,1998,78.6236585365854,5.4,7.2,1.56,30155173,,4.1999998093,634000000000.0,21024.5850687045,3.89288654344983,20900,0.99594245665802,8.278,,5.49377012252808,0.829909353323744,0.5,22.8,
CAN,1999,78.8390243902439,5.3,7.2,1.55,30401286,,3.9000000954,678412196271.118,22315.2466731545,5.14100353715349,21450,1.73484295105918,7.583,,5.53079986572266,0.812842623716166,0.5,22.9,
CAN,2000,79.1668292682927,5.3,7.1,1.51,30685730,8.24814415,3.77,744773415931.587,24271.0020563821,5.1385391803606,22740,2.71943995691976,6.829,,5.42331981658935,0.931281553452429,0.2,22.8,
CAN,2001,79.3980487804878,5.3,7.1,1.54,31020855,8.62482357,3.69,738981792355.372,23822.096210932,1.87509810696022,23120,2.52512013979906,7.219,,4.95303010940552,1.0861994547665,0.2,22.8,
CAN,2002,79.5307317073171,5.3,7.1,1.52,31359199,8.85670471,3.65,760649334098.005,24256.0192337185,2.99925535017809,23590,2.25839440940855,7.665,,4.99308013916016,1.08479328329522,0.2,23.0,
CAN,2003,79.7151219512195,5.3,7.1,1.55,31642461,9.01090145,3.5,895540646634.787,28301.8645937428,1.80638512302554,25480,2.75856321360112,7.574,,,0.899226809998674,0.2,22.9,
CAN,2004,79.9921951219512,5.3,7.1,1.56,31938807,9.06628132,3.44,1026690238278.25,32145.5412620217,3.09236384292251,29530,1.85725871857256,7.185,,,0.932186964148048,0.2,23.0,
CAN,2005,80.1126829268293,5.2,7.1,1.58,32242732,9.03540611,3.1,1173108598778.68,36383.6600068095,3.21045439063563,34310,2.21355203439767,6.758,,4.76588010787964,0.94708626967041,0.2,22.9,
